date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:43	2750/2750	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2013%20Feb%202020%2016:59:33%20GMT	https://c0.wp.com/p/woocommerce/3.9.2/assets/js/frontend/add-to-cart.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/p/woocommerce/3.9.2/assets/js/frontend/add-to-cart.min.js	(from http://kotes.xyz/football/)
15:43:43	814007/814007	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Jun%202020%2013:43:10%20GMT	http://kotes.xyz/wp-json/	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-json/index.html	(from http://kotes.xyz/football/)
15:43:43	1846/1846	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2013%20Feb%202020%2016:59:33%20GMT	https://c0.wp.com/p/woocommerce/3.9.2/assets/js/js-cookie/js.cookie.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/p/woocommerce/3.9.2/assets/js/js-cookie/js.cookie.min.js	(from http://kotes.xyz/football/)
15:43:43	1985/1985	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2013%20Feb%202020%2016:59:33%20GMT	https://c0.wp.com/p/woocommerce/3.9.2/assets/js/frontend/woocommerce.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/p/woocommerce/3.9.2/assets/js/frontend/woocommerce.min.js	(from http://kotes.xyz/football/)
15:43:44	23160/23160	---M-Z	200	added ('OK')	application/javascript	etag:%225a78-5a1703f8e185b-gzip%22	http://kotes.xyz/wp-content/plugins/advanced-woo-search/assets/js/common.js?ver=1.96	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/advanced-woo-search/assets/js/common131f.js	(from http://kotes.xyz/football/)
15:43:44	2940/2940	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2013%20Feb%202020%2016:59:33%20GMT	https://c0.wp.com/p/woocommerce/3.9.2/assets/js/frontend/cart-fragments.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/p/woocommerce/3.9.2/assets/js/frontend/cart-fragments.min.js	(from http://kotes.xyz/football/)
15:43:44	8957/8957	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Jun%202019%2010:15:39%20GMT	https://c0.wp.com/p/jetpack/8.2.3/_inc/build/lazy-images/js/lazy-images.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/p/jetpack/8.2.3/_inc/build/lazy-images/js/lazy-images.min.js	(from http://kotes.xyz/football/)
15:43:44	1399/1399	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2005%20Oct%202019%2019:49:10%20GMT	https://c0.wp.com/c/5.3.3/wp-includes/js/wp-embed.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/c/5.3.3/wp-includes/js/wp-embed.min.js	(from http://kotes.xyz/football/)
15:43:45	25202/25202	---M-Z	200	added ('OK')	application/javascript	etag:%226272-5a317a8cb8d6d-gzip%22	http://kotes.xyz/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.0.1	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.minf269.js	(from http://kotes.xyz/football/)
15:43:45	59779/59779	---M-Z	200	added ('OK')	application/javascript	etag:%22e983-5a2d6c29767a4-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=2.9.7	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/js/frontend-modules.minc867.js	(from http://kotes.xyz/football/)
15:43:46	6595/6595	---M-Z	200	added ('OK')	application/javascript	etag:%2219c3-5a317a8cb8d6d-gzip%22	http://kotes.xyz/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=2.9.2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.minab7d.js	(from http://kotes.xyz/football/)
15:43:46	100701/100701	---M-Z	200	added ('OK')	application/javascript	etag:%221895d-5a317a8cb6e2d-gzip%22	http://kotes.xyz/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=2.9.2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor-pro/assets/js/frontend.minab7d.js	(from http://kotes.xyz/football/)
15:43:47	10695/10695	---M-Z	200	added ('OK')	application/javascript	etag:%2229c7-5a2d6c297e4a4-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.6	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/dialog/dialog.minae9e.js	(from http://kotes.xyz/football/)
15:43:47	12198/12198	---M-Z	200	added ('OK')	application/javascript	etag:%222fa6-5a2d6c2979684-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from http://kotes.xyz/football/)
15:43:47	6482/6482	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2005%20Oct%202019%2022:01:04%20GMT	https://c0.wp.com/c/5.3.3/wp-includes/js/jquery/ui/position.min.js	C:/Users/admin/Desktop/Web%20Scraping/lp/c0.wp.com/c/5.3.3/wp-includes/js/jquery/ui/position.min.js	(from http://kotes.xyz/football/)
15:43:47	2635/2635	---M-Z	200	added ('OK')	application/javascript	etag:%22a4b-5a2d6c297c564-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=2.9.7	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/share-link/share-link.minc867.js	(from http://kotes.xyz/football/)
15:43:48	12636/12636	---M-Z	200	added ('OK')	application/javascript	etag:%22315c-59cdfdda87c80-gzip%22	http://kotes.xyz/wp-content/plugins/powerpack-elements/assets/js/pp-bg-effects.js?ver=1.0.0	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/powerpack-elements/assets/js/pp-bg-effects8a54.js	(from http://kotes.xyz/football/)
15:43:49	139191/139191	---M-Z	200	added ('OK')	application/javascript	etag:%2221fb7-5a2d6c297d504-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from http://kotes.xyz/football/)
15:43:50	116071/116071	---M-Z	200	added ('OK')	application/javascript	etag:%221c567-5a2d6c29767a4-gzip%22	http://kotes.xyz/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=2.9.7	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/js/frontend.minc867.js	(from http://kotes.xyz/football/)
15:43:50	9133/9133	---M--	200	added ('OK')	image/gif	etag:%2223ad-5a0444695dc80%22	http://kotes.xyz/wp-content/plugins/user-registration/assets/images/wpspin_light-2x.gif	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/user-registration/assets/images/wpspin_light-2x.gif	(from http://kotes.xyz/wp-content/plugins/user-registration/assets/css/user-registration.css?ver=1.8.1)
15:43:50	8972/8972	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6340e3-350a%22	https://stats.wp.com/e-202023.js	C:/Users/admin/Desktop/Web%20Scraping/lp/stats.wp.com/e-202023.js	(from http://kotes.xyz/football/)
15:43:51	80132/80132	---M--	200	added ('OK')	text/html	etag:%2213904-5a2d6c29786e4%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.6.2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.html	(from http://kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2)
15:43:56	264447/264447	---M--	200	added ('OK')	image/svg+xml	etag:%22408ff-5a2d6c29786e4%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.6.2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.svg	(from http://kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2)
15:44:10	97116/97116	---M--	200	added ('OK')	application/font-woff	etag:%2217b5c-5a2d6c29786e4%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.6.2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.woff	(from http://kotes.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2)
15:44:11	75936/75936	---M--	200	added ('OK')	text/html	etag:%22128a0-5a2d6c297c564%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.html	(from http://kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=2.9.7)
15:44:19	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222035a-5a2d6c297c564%22	http://kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Users/admin/Desktop/Web%20Scraping/lp/kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from http://kotes.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=2.9.7)
